,timestamp,disk_id,model,failure,r_sectors,u_errors,n_b_written,command_timeout,current_pending_sector_count,uncorrectable_sector_count
3947194,2018-03-25,ZA14ELJ1,ST8000NM0055,1.0,16592.0,25.0,38177797440.0,0.0,16.0,16.0
3982505,2020-07-04,ZA14EMXV,ST8000NM0055,1.0,47904.0,94.0,67542054616.0,0.0,8.0,8.0
3986646,2021-06-04,ZA14EN8V,ST8000NM0055,1.0,8728.0,31.0,76526787288.0,0.0,0.0,0.0
4038487,2018-12-19,ZA14ES1K,ST8000NM0055,1.0,1096.0,1.0,49368539736.0,0.0,0.0,0.0
4043195,2021-12-03,ZA14ES26,ST8000NM0055,1.0,46976.0,188.0,82969566344.0,0.0,0.0,0.0
4058378,2020-02-05,ZA14ESEY,ST8000NM0055,1.0,0.0,0.0,63254491824.0,0.0,0.0,0.0
4061238,2021-05-14,ZA14ESH1,ST8000NM0055,1.0,0.0,5.0,74396783448.0,0.0,16.0,16.0
4065134,2019-10-02,ZA14ESPP,ST8000NM0055,1.0,5512.0,5.0,59304502840.0,0.0,0.0,0.0
4070989,2020-08-12,ZA14ESZ1,ST8000NM0055,1.0,352.0,4.0,70414618136.0,0.0,8.0,8.0
4120635,2019-06-15,ZA14EVX7,ST8000NM0055,1.0,832.0,6.0,55353481776.0,0.0,0.0,0.0
4154750,2021-09-01,ZA14EWL0,ST8000NM0055,1.0,344.0,1.0,79694464472.0,0.0,0.0,0.0
4184078,2022-01-05,ZA14EX5H,ST8000NM0055,1.0,40.0,19.0,73771961160.0,0.0,40.0,40.0
4204530,2022-03-15,ZA14EY4L,ST8000NM0055,1.0,14224.0,186.0,84930498960.0,0.0,0.0,0.0
4274290,2020-07-30,ZA14EYYA,ST8000NM0055,1.0,14704.0,39.0,68910312504.0,0.0,0.0,0.0
4347860,2022-01-24,ZA14F1K3,ST8000NM0055,1.0,120.0,85.0,86009611216.0,4295032833.0,8.0,8.0
4382992,2020-01-02,ZA14F2SZ,ST8000NM0055,1.0,0.0,0.0,60920216024.0,0.0,0.0,0.0
4457701,2022-03-05,ZA14HTEP,ST8000NM0055,1.0,5024.0,15.0,84932407888.0,0.0,0.0,0.0
4472120,2021-08-05,ZA14HYGV,ST8000NM0055,1.0,136.0,0.0,76668237352.0,0.0,0.0,0.0
4493088,2021-07-26,ZA14JB87,ST8000NM0055,1.0,1584.0,2.0,74877392392.0,0.0,0.0,0.0
4493559,2019-04-17,ZA14JB9Z,ST8000NM0055,1.0,128.0,1.0,49357607760.0,0.0,0.0,0.0
4502929,2021-03-26,ZA14JBN8,ST8000NM0055,1.0,48.0,0.0,88225241469.0,0.0,0.0,0.0
4522903,2018-11-08,ZA14JF8Z,ST8000NM0055,1.0,416.0,1.0,44187811184.0,0.0,0.0,0.0
4534252,2022-02-27,ZA14JFK0,ST8000NM0055,1.0,24232.0,125.0,96969802255.0,0.0,0.0,0.0
4544088,2020-04-06,ZA14JKX6,ST8000NM0055,1.0,0.0,0.0,1610872784.0,0.0,96.0,96.0
4544109,2022-04-27,ZA14K6HW,ST8000NM0055,1.0,0.0,0.0,17580274128.0,0.0,0.0,0.0
4548024,2018-04-23,ZA14LWDQ,ST8000NM0055,1.0,0.0,0.0,1954445496.0,0.0,0.0,0.0
4548025,2018-11-29,ZA14LWDQ,ST8000NM0055,1.0,0.0,0.0,19191557208.0,0.0,0.0,0.0
4579278,2021-09-29,ZA14SRXY,ST8000NM0055,1.0,8.0,0.0,47036735560.0,0.0,0.0,0.0
4718447,2021-04-04,ZA14XXZY,ST8000NM0055,1.0,32.0,0.0,71469499832.0,0.0,0.0,0.0
4719215,2020-02-09,ZA14XYT9,ST8000NM0055,1.0,24.0,0.0,59193975512.0,0.0,0.0,0.0
4756744,2022-02-23,ZA14ZBT9,ST8000NM0055,1.0,3280.0,548.0,81940577488.0,4295032833.0,0.0,0.0
4810418,2021-12-13,ZA152QY3,ST8000NM0055,1.0,72.0,0.0,83724868088.0,0.0,0.0,0.0
4823353,2022-01-03,ZA153BX5,ST8000NM0055,1.0,61288.0,245.0,71135849288.0,0.0,0.0,0.0
4873095,2021-09-24,ZA153S2T,ST8000NM0055,1.0,24.0,3.0,76315882728.0,0.0,0.0,0.0
4873707,2019-09-05,ZA153S34,ST8000NM0055,1.0,211.0,8.0,54804420880.0,0.0,16.0,16.0
4904648,2021-12-16,ZA153S5D,ST8000NM0055,1.0,,,,,,
4905325,2019-11-10,ZA153S5L,ST8000NM0055,1.0,32.0,0.0,56499513800.0,0.0,0.0,0.0
4907691,2020-01-01,ZA153S5V,ST8000NM0055,1.0,168.0,0.0,58398544032.0,0.0,0.0,0.0
4921042,2018-09-01,ZA153S6Z,ST8000NM0055,1.0,128.0,0.0,39259247448.0,0.0,0.0,0.0
4928881,2021-07-11,ZA153S7K,ST8000NM0055,1.0,40.0,3.0,73501573632.0,0.0,0.0,0.0
4934085,2018-10-15,ZA153S83,ST8000NM0055,1.0,280.0,3.0,41236378704.0,0.0,352.0,352.0
4936223,2019-05-15,ZA153S86,ST8000NM0055,1.0,0.0,0.0,49794956504.0,0.0,0.0,0.0
4956855,2020-08-23,ZA153S9Q,ST8000NM0055,1.0,16.0,0.0,67270347824.0,0.0,0.0,0.0
4957229,2019-01-10,ZA153S9S,ST8000NM0055,1.0,24.0,0.0,44701707712.0,0.0,0.0,0.0
4958412,2021-03-30,ZA153S9X,ST8000NM0055,1.0,0.0,0.0,72287459576.0,0.0,0.0,0.0
5038148,2019-09-15,ZA153SHZ,ST8000NM0055,1.0,8.0,0.0,55203605064.0,0.0,0.0,0.0
5056798,2019-09-16,ZA153SKC,ST8000NM0055,1.0,4088.0,25.0,54570470616.0,0.0,0.0,0.0
5065258,2018-09-22,ZA153SLG,ST8000NM0055,1.0,72.0,1.0,40510644592.0,0.0,0.0,0.0
5104506,2022-04-12,ZA153SQX,ST8000NM0055,1.0,16.0,0.0,81967530664.0,0.0,0.0,0.0
5108789,2020-10-03,ZA153SRN,ST8000NM0055,1.0,8.0,0.0,66541239120.0,0.0,0.0,0.0
5128977,2019-06-09,ZA153STG,ST8000NM0055,1.0,760.0,4.0,51674974432.0,0.0,16.0,16.0
5164720,2021-08-24,ZA153SX2,ST8000NM0055,1.0,112.0,0.0,75891142600.0,0.0,0.0,0.0
5182579,2022-01-12,ZA153SYY,ST8000NM0055,1.0,9992.0,571.0,80653769320.0,4295032833.0,0.0,0.0
5186192,2018-12-02,ZA153SZ8,ST8000NM0055,1.0,520.0,4.0,43485107288.0,0.0,0.0,0.0
5189893,2019-03-01,ZA153SZQ,ST8000NM0055,1.0,64.0,0.0,47099048056.0,0.0,0.0,0.0
5189895,2019-04-08,ZA153SZQ,ST8000NM0055,1.0,12960.0,135.0,47439033704.0,4295032833.0,392.0,392.0
5204365,2021-09-21,ZA153T0K,ST8000NM0055,1.0,104.0,3.0,76762200728.0,0.0,8.0,8.0
5210710,2021-11-30,ZA153T13,ST8000NM0055,1.0,72.0,0.0,79420907264.0,0.0,0.0,0.0
5256857,2018-09-18,ZA153T5L,ST8000NM0055,1.0,24.0,0.0,40191900152.0,0.0,0.0,0.0
5331470,2020-05-21,ZA153TFA,ST8000NM0055,1.0,16.0,0.0,63190820432.0,0.0,0.0,0.0
5351296,2018-06-11,ZA153THB,ST8000NM0055,1.0,16.0,0.0,36435087952.0,0.0,0.0,0.0
5358474,2019-09-16,ZA153THS,ST8000NM0055,1.0,128.0,0.0,53497672312.0,0.0,0.0,0.0
5361254,2021-02-17,ZA153THY,ST8000NM0055,1.0,15584.0,95.0,70903694424.0,0.0,24.0,24.0
5371194,2018-04-20,ZA153TJY,ST8000NM0055,1.0,64.0,0.0,34422213552.0,0.0,0.0,0.0
5377612,2022-02-11,ZA153TKG,ST8000NM0055,1.0,18336.0,88.0,81634480768.0,0.0,16.0,16.0
5380142,2020-06-11,ZA153TKJ,ST8000NM0055,1.0,40.0,0.0,63330415536.0,0.0,0.0,0.0
5381740,2022-05-19,ZA153TKL,ST8000NM0055,1.0,16.0,7.0,84573975376.0,0.0,8.0,8.0
5400093,2018-11-25,ZA153TMP,ST8000NM0055,1.0,0.0,0.0,43884184616.0,0.0,0.0,0.0
5479777,2021-10-09,ZA154C9Q,ST8000NM0055,1.0,32.0,0.0,77381220752.0,0.0,0.0,0.0
5482822,2021-11-08,ZA154CBS,ST8000NM0055,1.0,104.0,1.0,77681430496.0,0.0,0.0,0.0
5484436,2022-06-04,ZA154CBX,ST8000NM0055,1.0,26168.0,37.0,83682304784.0,0.0,72.0,72.0
5485401,2020-08-24,ZA154CDD,ST8000NM0055,1.0,104.0,0.0,66242106824.0,0.0,0.0,0.0
5485683,2018-10-09,ZA154CDQ,ST8000NM0055,1.0,0.0,0.0,41819080480.0,0.0,0.0,0.0
5493053,2020-03-26,ZA154CJC,ST8000NM0055,1.0,0.0,0.0,60528144344.0,0.0,0.0,0.0
5495678,2020-09-14,ZA154D1B,ST8000NM0055,1.0,168.0,0.0,66645172368.0,0.0,0.0,0.0
5507869,2019-12-15,ZA154E8D,ST8000NM0055,1.0,0.0,0.0,57698931616.0,0.0,0.0,0.0
5525818,2022-04-12,ZA154SJP,ST8000NM0055,1.0,2048.0,229.0,82883773528.0,0.0,24.0,24.0
5537994,2019-12-10,ZA154SRE,ST8000NM0055,1.0,2112.0,7.0,57092988360.0,0.0,0.0,0.0
5557441,2021-11-29,ZA154VDQ,ST8000NM0055,1.0,8.0,0.0,80108803672.0,0.0,0.0,0.0
5559422,2018-12-10,ZA154VFE,ST8000NM0055,1.0,4480.0,22.0,43988325152.0,0.0,0.0,0.0
5566685,2019-12-16,ZA154VHQ,ST8000NM0055,1.0,8.0,0.0,57260247224.0,0.0,0.0,0.0
5580023,2018-08-15,ZA154VLT,ST8000NM0055,1.0,512.0,5.0,38872146904.0,0.0,8.0,8.0
5600351,2019-11-02,ZA154W5T,ST8000NM0055,1.0,6584.0,21.0,57377488376.0,0.0,16.0,16.0
5612383,2019-11-18,ZA154WKK,ST8000NM0055,1.0,19088.0,27.0,56482794712.0,0.0,0.0,0.0
5613458,2020-12-13,ZA154WM1,ST8000NM0055,1.0,8.0,0.0,69385406440.0,0.0,0.0,0.0
5618070,2021-08-31,ZA154WVC,ST8000NM0055,1.0,48.0,1.0,75811189152.0,0.0,0.0,0.0
5662353,2018-02-08,ZA154Z0W,ST8000NM0055,1.0,56.0,0.0,31084798008.0,0.0,0.0,0.0
5663235,2020-06-02,ZA154Z11,ST8000NM0055,1.0,2737.0,7.0,62902868632.0,0.0,16.0,16.0
5666427,2022-04-04,ZA154Z1Y,ST8000NM0055,1.0,7960.0,41.0,82447019560.0,0.0,8.0,8.0
5696261,2018-12-12,ZA154ZFM,ST8000NM0055,1.0,15080.0,13.0,44469860336.0,0.0,0.0,0.0
5699493,2022-05-16,ZA154ZGX,ST8000NM0055,1.0,2889.0,170.0,83189164776.0,0.0,144.0,144.0
5779873,2018-03-30,ZA1552GL,ST8000NM0055,1.0,0.0,0.0,32976647888.0,0.0,0.0,0.0
5786389,2022-05-22,ZA1552L7,ST8000NM0055,1.0,14992.0,63.0,83069920184.0,0.0,8.0,8.0
5789710,2018-02-12,ZA1552NE,ST8000NM0055,1.0,4696.0,15.0,30878831080.0,0.0,0.0,0.0
5801735,2019-07-09,ZA15530Y,ST8000NM0055,1.0,1760.0,2.0,52099365208.0,0.0,0.0,0.0
5802424,2019-11-22,ZA15531N,ST8000NM0055,1.0,7576.0,5.0,56923961992.0,0.0,0.0,0.0
5834449,2022-05-29,ZA1553LN,ST8000NM0055,1.0,3088.0,460.0,83868286056.0,0.0,0.0,0.0
5853403,2020-07-15,ZA1553ZK,ST8000NM0055,1.0,24.0,3.0,64859390160.0,0.0,8.0,8.0
5855158,2018-04-26,ZA15540F,ST8000NM0055,1.0,5688.0,9.0,34409109200.0,0.0,0.0,0.0
5857011,2018-08-02,ZA155417,ST8000NM0055,1.0,88.0,3.0,38514181888.0,0.0,8.0,8.0
5860953,2019-10-29,ZA1554BL,ST8000NM0055,1.0,104.0,1.0,55630069264.0,0.0,0.0,0.0
5889048,2018-05-03,ZA15630T,ST8000NM0055,1.0,496.0,22.0,34741953496.0,0.0,112.0,112.0
5909401,2019-11-22,ZA157051,ST8000NM0055,1.0,208.0,0.0,56673801368.0,0.0,0.0,0.0
5948256,2021-03-12,ZA15707D,ST8000NM0055,1.0,48.0,0.0,72244215904.0,0.0,0.0,0.0
5963652,2019-10-14,ZA157XW5,ST8000NM0055,1.0,64.0,0.0,20369738088.0,0.0,152.0,152.0
5985145,2022-02-21,ZA15A9LY,ST8000NM0055,1.0,0.0,0.0,19928979720.0,0.0,0.0,0.0
5990744,2019-03-24,ZA15AX9X,ST8000NM0055,1.0,0.0,0.0,18900912776.0,0.0,0.0,0.0
6002330,2021-01-24,ZA15BKQF,ST8000NM0055,1.0,72.0,6.0,71499411304.0,0.0,16.0,16.0
6006151,2021-12-28,ZA15CLC2,ST8000NM0055,1.0,14048.0,1.0,71469216080.0,0.0,0.0,0.0
6015994,2020-02-28,ZA15CWDK,ST8000NM0055,1.0,512.0,14.0,2344091344.0,4295098370.0,16.0,16.0
6028961,2022-04-12,ZA15FEQM,ST8000NM0055,1.0,44384.0,63.0,85258328264.0,0.0,0.0,0.0
6051360,2019-07-01,ZA15GXGZ,ST8000NM0055,1.0,0.0,0.0,58990464040.0,0.0,0.0,0.0
6105304,2018-01-02,ZA15W1KW,ST8000NM0055,1.0,0.0,0.0,15686914856.0,0.0,1016.0,1016.0
6131455,2019-01-17,ZA15YBJM,ST8000NM0055,1.0,0.0,0.0,42807664088.0,0.0,0.0,0.0
6132330,2020-05-24,ZA15YBXS,ST8000NM0055,1.0,15824.0,214.0,59673794712.0,4295032833.0,8.0,8.0
6143095,2020-01-02,ZA160G4N,ST8000NM0055,1.0,0.0,0.0,16233591576.0,0.0,0.0,0.0
6164965,2020-10-19,ZA162LFJ,ST8000NM0055,1.0,72.0,0.0,65082501624.0,0.0,0.0,0.0
6183625,2020-02-13,ZA164ANB,ST8000NM0055,1.0,0.0,0.0,63588087976.0,0.0,0.0,0.0
6224481,2022-01-25,ZA165Q49,ST8000NM0055,1.0,24512.0,42.0,85680343424.0,0.0,0.0,0.0
6238472,2020-05-30,ZA165ZH6,ST8000NM0055,1.0,0.0,0.0,66860205864.0,0.0,0.0,0.0
6242582,2020-04-11,ZA1665BL,ST8000NM0055,1.0,0.0,0.0,57660491024.0,0.0,0.0,0.0
6310880,2020-01-12,ZA16ASZE,ST8000NM0055,1.0,4256.0,3.0,60597796328.0,0.0,0.0,0.0
6360188,2022-04-05,ZA16CLKS,ST8000NM0055,1.0,16.0,0.0,87416279784.0,0.0,0.0,0.0
6421400,2019-08-13,ZA16CLR7,ST8000NM0055,1.0,256.0,0.0,57343623032.0,107377984081.0,0.0,0.0
6429316,2021-09-25,ZA16CLRM,ST8000NM0055,1.0,10984.0,22.0,82831591296.0,0.0,0.0,0.0
6469045,2019-02-04,ZA16CLZT,ST8000NM0055,1.0,216.0,0.0,51625229640.0,0.0,0.0,0.0
6486514,2020-02-16,ZA16CM74,ST8000NM0055,1.0,296.0,1.0,64868701256.0,0.0,0.0,0.0
